
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768
Sync-Point 105, Time: 0.455295, Redshift: 1.19638, Systemstep: 0.00424474, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 106, Time: 0.45958, Redshift: 1.1759, Systemstep: 0.00428468, Dloga: 0.00936678, Nsync-grv:        365, Nsync-hyd:        267

Sync-Point 107, Time: 0.463905, Redshift: 1.15561, Systemstep: 0.00432501, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 108, Time: 0.468271, Redshift: 1.13552, Systemstep: 0.00436571, Dloga: 0.00936678, Nsync-grv:        386, Nsync-hyd:        278

Sync-Point 109, Time: 0.472677, Redshift: 1.11561, Systemstep: 0.00440679, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 110, Time: 0.477126, Redshift: 1.09588, Systemstep: 0.00444826, Dloga: 0.00936678, Nsync-grv:        418, Nsync-hyd:        292

Sync-Point 111, Time: 0.481616, Redshift: 1.07634, Systemstep: 0.00449013, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 112, Time: 0.486148, Redshift: 1.05699, Systemstep: 0.00453238, Dloga: 0.00936678, Nsync-grv:        448, Nsync-hyd:        309

Sync-Point 113, Time: 0.490723, Redshift: 1.03781, Systemstep: 0.00457503, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 114, Time: 0.495341, Redshift: 1.01881, Systemstep: 0.00461809, Dloga: 0.00936678, Nsync-grv:        495, Nsync-hyd:        333

Sync-Point 115, Time: 0.500003, Redshift: 0.999989, Systemstep: 0.00466155, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 116, Time: 0.504708, Redshift: 0.981343, Systemstep: 0.00470542, Dloga: 0.00936678, Nsync-grv:        562, Nsync-hyd:        353

Sync-Point 117, Time: 0.509458, Redshift: 0.962871, Systemstep: 0.0047497, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 118, Time: 0.511849, Redshift: 0.953699, Systemstep: 0.00239159, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:          1

Sync-Point 119, Time: 0.514252, Redshift: 0.944571, Systemstep: 0.00240281, Dloga: 0.00468339, Nsync-grv:        594, Nsync-hyd:        373

Sync-Point 120, Time: 0.516666, Redshift: 0.935485, Systemstep: 0.00241409, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:          3

Sync-Point 121, Time: 0.519092, Redshift: 0.926441, Systemstep: 0.00242543, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 122, Time: 0.521529, Redshift: 0.91744, Systemstep: 0.00243681, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:          6

Sync-Point 123, Time: 0.523977, Redshift: 0.908481, Systemstep: 0.00244825, Dloga: 0.00468339, Nsync-grv:        629, Nsync-hyd:        399

Sync-Point 124, Time: 0.526437, Redshift: 0.899564, Systemstep: 0.00245974, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         11

Sync-Point 125, Time: 0.528908, Redshift: 0.890688, Systemstep: 0.00247129, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 126, Time: 0.531391, Redshift: 0.881854, Systemstep: 0.00248289, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         17

Sync-Point 127, Time: 0.533885, Redshift: 0.873061, Systemstep: 0.00249455, Dloga: 0.00468339, Nsync-grv:        663, Nsync-hyd:        415

Sync-Point 128, Time: 0.536392, Redshift: 0.86431, Systemstep: 0.00250626, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         27

Sync-Point 129, Time: 0.53891, Redshift: 0.855599, Systemstep: 0.00251802, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 130, Time: 0.541439, Redshift: 0.846928, Systemstep: 0.00252984, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         29

Sync-Point 131, Time: 0.543981, Redshift: 0.838299, Systemstep: 0.00254172, Dloga: 0.00468339, Nsync-grv:        690, Nsync-hyd:        433

Sync-Point 132, Time: 0.546535, Redshift: 0.829709, Systemstep: 0.00255365, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         35

Sync-Point 133, Time: 0.5491, Redshift: 0.82116, Systemstep: 0.00256564, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

